"","station_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93"
"1","STA-BETR731_observed",28.1416666666667,41.9958333333333,56.4958333333333,79.5166666666667,33.7041666666667,15.9333333333333,22.5166666666667,22.4541666666667,39.5583333333333,36.725,37.5583333333333,16.7458333333333,16.0791666666667,12.6833333333333,11.6625,13.6625,18.8083333333333,16.5791666666667,11.7666666666667,15.8916666666667,19.9958333333333,20.7666666666667,25.5375,39.6833333333333,56.4589416666667,26.1508375,21.225,16.1208333333333,15.975,25.3291666666667,54.1833333333333,70.839775,60.7666666666667,18.4958333333333,27.225,23.6833333333333,18.7666666666667,10.3083333333333,17.1833333333333,31.2666666666667,24.9333333333333,21.7666666666667,8.80833333333333,14.1,20.8291666666667,23.5166666666667,17.4541666666667,18.1625,16.1208333333333,23.5375,35.9125,61.5583333333333,45.6833333333333,27.9958333333333,28.7666666666667,24.2458333333333,19.8083333333333,35.4958333333333,39.0583333333333,48.975,18.9333333333333,26.1625,23.5166666666667,15.3083333333333,26.7041666666667,15.1625,12.1,14.7041666666667,16.225,16.85,16.1416666666667,14.4541666666667,20.1625,18.4333333333333,19.725,26.9333333333333,21.0791666666667,13.4125,15.2805416666667,13.8291666666667,11.475,25.3083333333333,30.9333333333333,10.4333333333333,10.8083333333333,7.70416666666667,12.0583333333333,13.1833333333333,17.5583333333333,22.225,21.35,29.5583333333333,27.2590909090909
"2","STA-BETR801_observed",28.7458333333333,38.6,54.0166666666667,91.4958333333333,45.3553833333333,17.3916666666667,23.9125,21.6625,47.6208333333333,36.3291666666667,39.1833333333333,21.3916666666667,20.4541666666667,13.0166666666667,13.2666666666667,17.3916666666667,17.1416666666667,15.4125,18.8708333333333,14.5791666666667,18.2666666666667,24.2041666666667,24.6,45.6812875,59.725,36.85,29.85,16.725,18.3291666666667,30.6833333333333,48.00025,55.9541666666667,49.7875,20.475,27.7041666666667,27.4333333333333,26.3451666666667,10.7041666666667,18.725,33.0973291666667,26.6625,17.5375,8.93333333333333,13.9333333333333,19.1625,22.9333333333333,17.1625,15.7875,15.4125,30.4125,41.1208333333333,57.1416666666667,39.332475,25.8291666666667,64.3708333333333,18.7875,16.725,23.5375,31.6,44.7666666666667,23.1,28.7041666666667,25.0375,14.6625,29.5375,14.8916666666667,14.2041666666667,16.8083333333333,17.7458333333333,17.4333333333333,17.2666666666667,14.5583333333333,19.8291666666667,17.3708333333333,17.9958333333333,21.3916666666667,20.0375,13.5791666666667,14.4541666666667,17.6833333333333,15.475,23.7666666666667,22.3083333333333,10.7875,11.5166666666667,7.475,12.4949666666667,14.9333333333333,19.1833333333333,18.3916666666667,17.0583333333333,18.4333333333333,23.4636363636364
"3","STA-BETR805_observed",30.6416666666667,45.7875,68.5791666666667,100.7875,47.9958333333333,21.9125,25.85,23.2666666666667,56.1,37.725,40.7875,21.0375,18.3708333333333,12.5166666666667,13.8916666666667,20.5791666666667,18.4125,18.9333333333333,22.2875,24.0166666666667,20.975,25.3916666666667,30.4125,48.0166666666667,59.9333333333333,35.9541666666667,26.3916666666667,17.1,17.225,26.1833333333333,57.2875,64.7875,49.4958333333333,21.0791666666667,26.5791666666667,28.0583333333333,27.7041666666667,11.3916666666667,20.2041666666667,35.9541666666667,31.7731583333333,18.1,9.93333333333333,17.1833333333333,22.9958333333333,26.8291666666667,21.9541666666667,20.8083333333333,16.3708333333333,32.6833333333333,47.9125,62.225,40.5583333333333,27.9958333333333,72.2875,21.0375,18.2875,27.9125,34.9958333333333,49.1625,27.35,33.3916666666667,27.0583333333333,17.1416666666667,31.3708333333333,16.0583333333333,25.2666666666667,18.4541666666667,20.4541666666667,18.5583333333333,18.3916666666667,15.5791666666667,22.7041666666667,20.1625,20.6,24.4333333333333,20.2458333333333,14.6625,15.3708333333333,18.6208333333333,16.9333333333333,23.5791666666667,21.5791666666667,10.5583333333333,11.7458333333333,7.7875,12.8083333333333,16.1625,22.6625,22.0791666666667,18.6833333333333,20.5166666666667,28.2363636363636
"4","STA-BETR802_observed",26.5791666666667,36.1416666666667,62.8039375,89.4053375,42.9630083333333,17.0166666666667,23.3708333333333,20.8083333333333,46.2458333333333,35.4125,37.9958333333333,21.85,21.225,12.3083333333333,12.9333333333333,16.725,16.6833333333333,14.4333333333333,19.0583333333333,13.8708333333333,18.0166666666667,22.1416666666667,25.2041666666667,46.3068583333333,58.6625,39.0583333333333,30.6833333333333,16.4333333333333,18.1625,31.0166666666667,54.1208333333333,59.1833333333333,46.4958333333333,18.7875,25.4125,26.225,25.3083333333333,10.5434875,18.0375,33.4541666666667,26.4541666666667,16.6208333333333,8.57916666666667,14.0375,19.4958333333333,22.8708333333333,16.6208333333333,14.6833333333333,14.2875,28.8708333333333,39.6416666666667,53.8083333333333,35.9125,23.8291666666667,61.35,17.2041666666667,15.475,21.725,30.0583333333333,42.725,21.7458333333333,27.6833333333333,23.6416666666667,13.9333333333333,29.7666666666667,14.3708333333333,13.7041666666667,17.0791666666667,17.35,16.6625,16.725,14.475,19.8708333333333,18.225,17.6416666666667,20.475,18.7875,12.975,13.6833333333333,17.4333333333333,15.6625,23.3916666666667,21.9958333333333,10.2666666666667,10.8916666666667,7.43333333333333,11.8906875,15.1,17.85,18.3708333333333,16.1208333333333,17.8916666666667,23.5545454545455
"5","STA-BETR750_observed",24.2447916666667,47.265625,62.5262125,80.078125,40.1302083333333,24.8177083333333,26.875,21.9270833333333,40.9895833333333,39.5572916666667,60.7875708333333,28.28125,20.3385416666667,16.1979166666667,10.46875,15.9375,18.3854166666667,16.640625,11.5625,13.5416666666667,19.8177083333333,22.1875,27.34375,43.4114583333333,59.2447916666667,27.3958333333333,30.6510416666667,14.7135416666667,19.0104166666667,29.0885416666667,49.609375,62.5520833333333,61.5885416666667,16.5104166666667,27.4479166666667,22.734375,19.21875,10,15.4427083333333,34.0625,21.9010416666667,19.921875,8.046875,11.1197916666667,16.4583333333333,22.65625,16.0677083333333,15.3385416666667,14.6875,23.203125,36.3020833333333,63.515625,46.6927083333333,22.1354166666667,21.171875,18.5677083333333,14.5833333333333,19.0364583333333,31.796875,41.6292958333333,17.890625,24.5052083333333,21.3541666666667,12.5,38.9322916666667,24.9739583333333,11.0416666666667,13.2291666666667,16.7447916666667,19.375,17.5260416666667,14.9739583333333,18.7760416666667,16.40625,14.609375,22.0833333333333,19.53125,14.5052083333333,18.828125,15.625,12.421875,25.1041666666667,53.28125,9.42708333333333,10.9895833333333,8.88020833333333,10.390625,12.6302083333333,15.5989583333333,18.1770833333333,17.96875,20.7291666666667,21.5056818181818
"6","STA-BETN052_observed",31.975,49.3916666666667,63.2041666666667,82.0583333333333,34.4958333333333,23.4125,29.975,27.4541666666667,46.0375,38.1,36.4958333333333,19.9958333333333,21.4541666666667,13.8708333333333,12.7458333333333,16.725,21.85,19.4125,15.0583333333333,18.5583333333333,22.9333333333333,22.4958333333333,34.1,42.0583333333333,50.6208333333333,23.7666666666667,17.0791666666667,16.8083333333333,16.475,25.3708333333333,39.3385916666667,53.4333333333333,63.5375,23.1625,29.7458333333333,28.2666666666667,22.35,16.5375,17.4958333333333,31.7041666666667,33.85,25.2666666666667,10.6208333333333,19.4222375,25.6178041666667,29.5375,24.6416666666667,24.4958333333333,19.1625,24.85,43.7041666666667,70.5375,57.7041666666667,30.3083333333333,31.9125,27.1833333333333,21.4958333333333,28.6625,41.6,49.8916666666667,22.3291666666667,32.739525,25.9958333333333,14.7875,24.9958333333333,16.5375,16.4958333333333,14.1833333333333,21.9541666666667,15.35,16.35,10.7041666666667,17.35,15.6208333333333,15.1,26.725,23.5583333333333,12.4958333333333,16.1,14.6833333333333,11.725,17.6208333333333,19.5166666666667,9.45416666666667,10.7458333333333,6.975,12.7000708333333,15.1833333333333,23.475,24.8708333333333,24.6416666666667,28.6,25.4409090909091
"7","STA-BETM705_observed",28.725,44.85,63.0166666666667,80.1416666666667,27.0583333333333,20.2666666666667,21.4125,22.3708333333333,34.1,34.0375,33.3083333333333,23.975,15.4958333333333,12.725,10.4333333333333,13.4333333333333,20.1625,17.4958333333333,10.8083333333333,17.6625,18.4125,19.5791666666667,31.225,40.8708333333333,47.8708333333333,25.0791666666667,14.6625,14.7458333333333,13.3916666666667,23.2458333333333,76.44375,75.7458333333333,64.0375,20.6416666666667,23.4541666666667,20.8916666666667,17.2458333333333,11.8916666666667,15.0166666666667,24.3291666666667,26.1416666666667,19.4541666666667,8.24583333333333,17.85,29.9958333333333,29.9125,17.8916666666667,21.5791666666667,14.3916666666667,19.225,32.5375,56.8916666666667,39.1625,31.6833333333333,28.6,20.9541666666667,16.1,23.35,36.2458333333333,40.0375,18.475,30.4541666666667,22.35,13.975,21.5166666666667,19.4125,12.2041666666667,12.8916666666667,17.225,14.5375,14.35,11.2875,18.1833333333333,14.7041666666667,14.6208333333333,21.9333333333333,20.3291666666667,11.5583333333333,14.8916666666667,12.8083333333333,11.4958333333333,17.9541666666667,17.3916666666667,9.1,9.225,6.93333333333333,14.225,14.2666666666667,19.5375,31.1208333333333,22.9958333333333,26.6625,33.5621454545455
"8","STA-BETN043_observed",24.4375,46.0833333333333,65.6666666666667,71.0208333333333,30.3333333333333,21.3333333333333,28.1666666666667,21.6458333333333,40.8125,30.3958333333333,34.5625,16.4375,18.3125,9.48958333333333,9.36458333333333,10.3020833333333,15.1875,12.3333333333333,15.8958333333333,16.6666666666667,16.2708333333333,16.9166666666667,19.6041666666667,39.7083333333333,49.1875,32.1666666666667,27.6041666666667,12.09375,14.125,33.0625,67.625,54.5625,62.6458333333333,24.0625,18.4375,21.9375,18.28125,5.88541666666667,12.65625,27.6666666666667,25.0625,16.1458333333333,7.65625,14.8229166666667,22.5,31.4583333333333,19.8333333333333,25.625,15.8541666666667,22.9791666666667,43.75,62.9375,42.0625,30.9166666666667,28.1666666666667,22.6666666666667,13.2083333333333,39.75,34.125,51.7708333333333,25.3333333333333,26.7916666666667,20.6458333333333,13.3333333333333,21.3125,18.3229166666667,9.875,13.0625,14.1875,12.5416666666667,14.0208333333333,14.6770833333333,23.96875,15.9583333333333,12.1979166666667,16.6458333333333,15.8541666666667,8.48958333333333,10.6354166666667,13.4375,13.7916666666667,18.0729166666667,15.9270833333333,7.5,8.375,5.75,10.3854166666667,12.1666666666667,16.2916666666667,28.0416666666667,15.8958333333333,13.9583333333333,42.0909090909091
"9","STA-BETR701_observed",26.8708333333333,43.1416666666667,59.5583333333333,109.995833333333,54.725,19.1625,20.7666666666667,21.6,62.4541666666667,34.2041666666667,38.7458333333333,20.5583333333333,18.35,13.475,11.8708333333333,17.0583333333333,19.4541666666667,19.2458333333333,14.725,21.975,24.4125,24.1416666666667,33.1208333333333,49.3708333333333,54.5166666666667,26.4333333333333,22.225,16.725,15.975,25.9125,60.4958333333333,62.6625,101.329166666667,49.6416666666667,40.2458333333333,25.35,23.8291666666667,13.3708333333333,25.0569125,34.7875,41.2458333333333,19.7875,12.2875,14.6833333333333,29.2875,34.5166666666667,23.2666666666667,43.2875,34.7041666666667,27.4958333333333,76.8708333333333,77.0583333333333,77.0375,81.6625,55.7875,38.4958333333333,32.2041666666667,76.4541666666667,79.0791666666667,86.5583333333333,19.6625,43.1208333333333,32.3083333333333,23.1208333333333,37.2041666666667,13.8291666666667,20.6833333333333,17.6208333333333,17.3083333333333,15.2458333333333,16.0791666666667,17.1625,19.0791666666667,21.0375,15.6416666666667,23.725,21.225,12.475,14.9333333333333,22.3916666666667,13.3291666666667,21.9958333333333,23.5375,10.0166666666667,11.2875,6.975,12.0577,19.9958333333333,37.9958333333333,26.35,30.975,22.3916666666667,47.4636363636364
"10","STA-BETR803_observed",26.0375,36.8291666666667,50.5583333333333,87.5166666666667,41.5583333333333,16.9125,22.5166666666667,21.1208333333333,51.7875,33.35,37.2875,21.0791666666667,20.3291666666667,13.1208333333333,13.7666666666667,22.5166666666667,16.5375,20.7041666666667,17.7875,15.4958333333333,17.35,22.4333333333333,22.1625,42.225,54.8291666666667,33.5375,23.475,17.975,18.35,27.725,48.1208333333333,61.6,47.3916666666667,19.6416666666667,26.1833333333333,25.7666666666667,28.4541666666667,10.0166666666667,16.7458333333333,32.225,26.0375,16.3916666666667,8.1,13.2041666666667,17.1208333333333,22.8708333333333,16.975,15.975,14.8916666666667,29.7875,38.6,57.0166666666667,40.1,24.975,61.3083333333333,19.6,16.8083333333333,23.9333333333333,33.7875,46.4541666666667,21.3708333333333,26.1625,23.4958333333333,13.9958333333333,28.3647166666667,15.5583333333333,13.4958333333333,15.9333333333333,16.9125,16.6625,16.5583333333333,13.9541666666667,18.8083333333333,17.0791666666667,17.0791666666667,20.975,18.9125,13.5791666666667,13.475,16.3083333333333,14.2875,20.6625,22.8291666666667,9.87083333333333,11.6208333333333,7.2875,12.35,13.8291666666667,16.8291666666667,18.9125,16.475,18.6833333333333,25.2136363636364
